Emotions,Path
fear,../Dataset/ravdess/Actor_10/03-01-06-02-01-01-10.wav
angry,../Dataset/ravdess/Actor_10/03-01-05-02-01-02-10.wav
angry,../Dataset/ravdess/Actor_10/03-01-05-01-02-02-10.wav
fear,../Dataset/ravdess/Actor_10/03-01-06-01-02-01-10.wav
surprise,../Dataset/ravdess/Actor_10/03-01-08-01-01-02-10.wav
surprise,../Dataset/ravdess/Actor_10/03-01-08-02-02-02-10.wav
neutral,../Dataset/ravdess/Actor_10/03-01-01-01-02-01-10.wav
calm,../Dataset/ravdess/Actor_10/03-01-02-01-02-02-10.wav
calm,../Dataset/ravdess/Actor_10/03-01-02-02-01-02-10.wav
happy,../Dataset/ravdess/Actor_10/03-01-03-01-01-01-10.wav
happy,../Dataset/ravdess/Actor_10/03-01-03-02-02-01-10.wav
calm,../Dataset/ravdess/Actor_10/03-01-02-01-01-01-10.wav
neutral,../Dataset/ravdess/Actor_10/03-01-01-01-01-02-10.wav
calm,../Dataset/ravdess/Actor_10/03-01-02-02-02-01-10.wav
happy,../Dataset/ravdess/Actor_10/03-01-03-01-02-02-10.wav
happy,../Dataset/ravdess/Actor_10/03-01-03-02-01-02-10.wav
disgust,../Dataset/ravdess/Actor_10/03-01-07-02-01-01-10.wav
sad,../Dataset/ravdess/Actor_10/03-01-04-02-01-02-10.wav
sad,../Dataset/ravdess/Actor_10/03-01-04-01-02-02-10.wav
disgust,../Dataset/ravdess/Actor_10/03-01-07-01-02-01-10.wav
angry,../Dataset/ravdess/Actor_10/03-01-05-02-02-01-10.wav
fear,../Dataset/ravdess/Actor_10/03-01-06-02-02-02-10.wav
fear,../Dataset/ravdess/Actor_10/03-01-06-01-01-02-10.wav
angry,../Dataset/ravdess/Actor_10/03-01-05-01-01-01-10.wav
surprise,../Dataset/ravdess/Actor_10/03-01-08-01-02-01-10.wav
surprise,../Dataset/ravdess/Actor_10/03-01-08-02-01-01-10.wav
happy,../Dataset/ravdess/Actor_04/03-01-03-02-02-02-04.wav
happy,../Dataset/ravdess/Actor_04/03-01-03-01-01-02-04.wav
calm,../Dataset/ravdess/Actor_04/03-01-02-02-01-01-04.wav
neutral,../Dataset/ravdess/Actor_04/03-01-01-01-02-02-04.wav
calm,../Dataset/ravdess/Actor_04/03-01-02-01-02-01-04.wav
angry,../Dataset/ravdess/Actor_04/03-01-05-01-02-01-04.wav
fear,../Dataset/ravdess/Actor_04/03-01-06-01-02-02-04.wav
fear,../Dataset/ravdess/Actor_04/03-01-06-02-01-02-04.wav
angry,../Dataset/ravdess/Actor_04/03-01-05-02-01-01-04.wav
disgust,../Dataset/ravdess/Actor_04/03-01-07-01-01-01-04.wav
sad,../Dataset/ravdess/Actor_04/03-01-04-01-01-02-04.wav
sad,../Dataset/ravdess/Actor_04/03-01-04-02-02-02-04.wav
disgust,../Dataset/ravdess/Actor_04/03-01-07-02-02-01-04.wav
surprise,../Dataset/ravdess/Actor_04/03-01-08-02-02-01-04.wav
surprise,../Dataset/ravdess/Actor_04/03-01-08-01-01-01-04.wav
fear,../Dataset/ravdess/Actor_04/03-01-06-01-01-01-04.wav
angry,../Dataset/ravdess/Actor_04/03-01-05-01-01-02-04.wav
angry,../Dataset/ravdess/Actor_04/03-01-05-02-02-02-04.wav
fear,../Dataset/ravdess/Actor_04/03-01-06-02-02-01-04.wav
sad,../Dataset/ravdess/Actor_04/03-01-04-01-02-01-04.wav
disgust,../Dataset/ravdess/Actor_04/03-01-07-01-02-02-04.wav
disgust,../Dataset/ravdess/Actor_04/03-01-07-02-01-02-04.wav
sad,../Dataset/ravdess/Actor_04/03-01-04-02-01-01-04.wav
surprise,../Dataset/ravdess/Actor_04/03-01-08-02-01-02-04.wav
surprise,../Dataset/ravdess/Actor_04/03-01-08-01-02-02-04.wav
happy,../Dataset/ravdess/Actor_04/03-01-03-02-01-01-04.wav
happy,../Dataset/ravdess/Actor_04/03-01-03-01-02-01-04.wav
calm,../Dataset/ravdess/Actor_04/03-01-02-02-02-02-04.wav
calm,../Dataset/ravdess/Actor_04/03-01-02-01-01-02-04.wav
neutral,../Dataset/ravdess/Actor_04/03-01-01-01-01-01-04.wav
disgust,../Dataset/ravdess/Actor_04/03-01-07-02-02-02-04.wav
sad,../Dataset/ravdess/Actor_04/03-01-04-02-02-01-04.wav
sad,../Dataset/ravdess/Actor_04/03-01-04-01-01-01-04.wav
disgust,../Dataset/ravdess/Actor_04/03-01-07-01-01-02-04.wav
angry,../Dataset/ravdess/Actor_04/03-01-05-02-01-02-04.wav
fear,../Dataset/ravdess/Actor_04/03-01-06-02-01-01-04.wav
fear,../Dataset/ravdess/Actor_04/03-01-06-01-02-01-04.wav
angry,../Dataset/ravdess/Actor_04/03-01-05-01-02-02-04.wav
surprise,../Dataset/ravdess/Actor_04/03-01-08-01-01-02-04.wav
surprise,../Dataset/ravdess/Actor_04/03-01-08-02-02-02-04.wav
calm,../Dataset/ravdess/Actor_04/03-01-02-01-02-02-04.wav
neutral,../Dataset/ravdess/Actor_04/03-01-01-01-02-01-04.wav
calm,../Dataset/ravdess/Actor_04/03-01-02-02-01-02-04.wav
happy,../Dataset/ravdess/Actor_04/03-01-03-01-01-01-04.wav
happy,../Dataset/ravdess/Actor_04/03-01-03-02-02-01-04.wav
neutral,../Dataset/ravdess/Actor_04/03-01-01-01-01-02-04.wav
calm,../Dataset/ravdess/Actor_04/03-01-02-01-01-01-04.wav
calm,../Dataset/ravdess/Actor_04/03-01-02-02-02-01-04.wav
happy,../Dataset/ravdess/Actor_04/03-01-03-01-02-02-04.wav
happy,../Dataset/ravdess/Actor_04/03-01-03-02-01-02-04.wav
sad,../Dataset/ravdess/Actor_04/03-01-04-02-01-02-04.wav
disgust,../Dataset/ravdess/Actor_04/03-01-07-02-01-01-04.wav
disgust,../Dataset/ravdess/Actor_04/03-01-07-01-02-01-04.wav
sad,../Dataset/ravdess/Actor_04/03-01-04-01-02-02-04.wav
fear,../Dataset/ravdess/Actor_04/03-01-06-02-02-02-04.wav
angry,../Dataset/ravdess/Actor_04/03-01-05-02-02-01-04.wav
angry,../Dataset/ravdess/Actor_04/03-01-05-01-01-01-04.wav
fear,../Dataset/ravdess/Actor_04/03-01-06-01-01-02-04.wav
surprise,../Dataset/ravdess/Actor_04/03-01-08-01-02-01-04.wav
surprise,../Dataset/ravdess/Actor_04/03-01-08-02-01-01-04.wav
sad,../Dataset/ravdess/Actor_03/03-01-04-02-02-02-03.wav
disgust,../Dataset/ravdess/Actor_03/03-01-07-02-02-01-03.wav
disgust,../Dataset/ravdess/Actor_03/03-01-07-01-01-01-03.wav
sad,../Dataset/ravdess/Actor_03/03-01-04-01-01-02-03.wav
fear,../Dataset/ravdess/Actor_03/03-01-06-02-01-02-03.wav
angry,../Dataset/ravdess/Actor_03/03-01-05-02-01-01-03.wav
angry,../Dataset/ravdess/Actor_03/03-01-05-01-02-01-03.wav
fear,../Dataset/ravdess/Actor_03/03-01-06-01-02-02-03.wav
surprise,../Dataset/ravdess/Actor_03/03-01-08-01-01-01-03.wav
surprise,../Dataset/ravdess/Actor_03/03-01-08-02-02-01-03.wav
neutral,../Dataset/ravdess/Actor_03/03-01-01-01-02-02-03.wav
calm,../Dataset/ravdess/Actor_03/03-01-02-01-02-01-03.wav
calm,../Dataset/ravdess/Actor_03/03-01-02-02-01-01-03.wav
happy,../Dataset/ravdess/Actor_03/03-01-03-01-01-02-03.wav
happy,../Dataset/ravdess/Actor_03/03-01-03-02-02-02-03.wav
calm,../Dataset/ravdess/Actor_03/03-01-02-01-01-02-03.wav
neutral,../Dataset/ravdess/Actor_03/03-01-01-01-01-01-03.wav
calm,../Dataset/ravdess/Actor_03/03-01-02-02-02-02-03.wav
happy,../Dataset/ravdess/Actor_03/03-01-03-01-02-01-03.wav
happy,../Dataset/ravdess/Actor_03/03-01-03-02-01-01-03.wav
disgust,../Dataset/ravdess/Actor_03/03-01-07-02-01-02-03.wav
sad,../Dataset/ravdess/Actor_03/03-01-04-02-01-01-03.wav
sad,../Dataset/ravdess/Actor_03/03-01-04-01-02-01-03.wav
disgust,../Dataset/ravdess/Actor_03/03-01-07-01-02-02-03.wav
angry,../Dataset/ravdess/Actor_03/03-01-05-02-02-02-03.wav
fear,../Dataset/ravdess/Actor_03/03-01-06-02-02-01-03.wav
fear,../Dataset/ravdess/Actor_03/03-01-06-01-01-01-03.wav
angry,../Dataset/ravdess/Actor_03/03-01-05-01-01-02-03.wav
surprise,../Dataset/ravdess/Actor_03/03-01-08-01-02-02-03.wav
surprise,../Dataset/ravdess/Actor_03/03-01-08-02-01-02-03.wav
happy,../Dataset/ravdess/Actor_03/03-01-03-02-02-01-03.wav
happy,../Dataset/ravdess/Actor_03/03-01-03-01-01-01-03.wav
calm,../Dataset/ravdess/Actor_03/03-01-02-02-01-02-03.wav
calm,../Dataset/ravdess/Actor_03/03-01-02-01-02-02-03.wav
neutral,../Dataset/ravdess/Actor_03/03-01-01-01-02-01-03.wav
fear,../Dataset/ravdess/Actor_03/03-01-06-01-02-01-03.wav
angry,../Dataset/ravdess/Actor_03/03-01-05-01-02-02-03.wav
angry,../Dataset/ravdess/Actor_03/03-01-05-02-01-02-03.wav
fear,../Dataset/ravdess/Actor_03/03-01-06-02-01-01-03.wav
sad,../Dataset/ravdess/Actor_03/03-01-04-01-01-01-03.wav
disgust,../Dataset/ravdess/Actor_03/03-01-07-01-01-02-03.wav
disgust,../Dataset/ravdess/Actor_03/03-01-07-02-02-02-03.wav
sad,../Dataset/ravdess/Actor_03/03-01-04-02-02-01-03.wav
surprise,../Dataset/ravdess/Actor_03/03-01-08-02-02-02-03.wav
surprise,../Dataset/ravdess/Actor_03/03-01-08-01-01-02-03.wav
angry,../Dataset/ravdess/Actor_03/03-01-05-01-01-01-03.wav
fear,../Dataset/ravdess/Actor_03/03-01-06-01-01-02-03.wav
fear,../Dataset/ravdess/Actor_03/03-01-06-02-02-02-03.wav
angry,../Dataset/ravdess/Actor_03/03-01-05-02-02-01-03.wav
disgust,../Dataset/ravdess/Actor_03/03-01-07-01-02-01-03.wav
sad,../Dataset/ravdess/Actor_03/03-01-04-01-02-02-03.wav
sad,../Dataset/ravdess/Actor_03/03-01-04-02-01-02-03.wav
disgust,../Dataset/ravdess/Actor_03/03-01-07-02-01-01-03.wav
surprise,../Dataset/ravdess/Actor_03/03-01-08-02-01-01-03.wav
surprise,../Dataset/ravdess/Actor_03/03-01-08-01-02-01-03.wav
happy,../Dataset/ravdess/Actor_03/03-01-03-02-01-02-03.wav
happy,../Dataset/ravdess/Actor_03/03-01-03-01-02-02-03.wav
calm,../Dataset/ravdess/Actor_03/03-01-02-02-02-01-03.wav
neutral,../Dataset/ravdess/Actor_03/03-01-01-01-01-02-03.wav
calm,../Dataset/ravdess/Actor_03/03-01-02-01-01-01-03.wav
fear,../Dataset/ravdess/Actor_02/03-01-06-01-02-02-02.wav
angry,../Dataset/ravdess/Actor_02/03-01-05-01-02-01-02.wav
angry,../Dataset/ravdess/Actor_02/03-01-05-02-01-01-02.wav
fear,../Dataset/ravdess/Actor_02/03-01-06-02-01-02-02.wav
sad,../Dataset/ravdess/Actor_02/03-01-04-01-01-02-02.wav
disgust,../Dataset/ravdess/Actor_02/03-01-07-01-01-01-02.wav
disgust,../Dataset/ravdess/Actor_02/03-01-07-02-02-01-02.wav
sad,../Dataset/ravdess/Actor_02/03-01-04-02-02-02-02.wav
surprise,../Dataset/ravdess/Actor_02/03-01-08-02-02-01-02.wav
surprise,../Dataset/ravdess/Actor_02/03-01-08-01-01-01-02.wav
happy,../Dataset/ravdess/Actor_02/03-01-03-02-02-02-02.wav
happy,../Dataset/ravdess/Actor_02/03-01-03-01-01-02-02.wav
calm,../Dataset/ravdess/Actor_02/03-01-02-02-01-01-02.wav
calm,../Dataset/ravdess/Actor_02/03-01-02-01-02-01-02.wav
neutral,../Dataset/ravdess/Actor_02/03-01-01-01-02-02-02.wav
happy,../Dataset/ravdess/Actor_02/03-01-03-02-01-01-02.wav
happy,../Dataset/ravdess/Actor_02/03-01-03-01-02-01-02.wav
calm,../Dataset/ravdess/Actor_02/03-01-02-02-02-02-02.wav
neutral,../Dataset/ravdess/Actor_02/03-01-01-01-01-01-02.wav
calm,../Dataset/ravdess/Actor_02/03-01-02-01-01-02-02.wav
angry,../Dataset/ravdess/Actor_02/03-01-05-01-01-02-02.wav
fear,../Dataset/ravdess/Actor_02/03-01-06-01-01-01-02.wav
fear,../Dataset/ravdess/Actor_02/03-01-06-02-02-01-02.wav
angry,../Dataset/ravdess/Actor_02/03-01-05-02-02-02-02.wav
disgust,../Dataset/ravdess/Actor_02/03-01-07-01-02-02-02.wav
sad,../Dataset/ravdess/Actor_02/03-01-04-01-02-01-02.wav
sad,../Dataset/ravdess/Actor_02/03-01-04-02-01-01-02.wav
disgust,../Dataset/ravdess/Actor_02/03-01-07-02-01-02-02.wav
surprise,../Dataset/ravdess/Actor_02/03-01-08-02-01-02-02.wav
surprise,../Dataset/ravdess/Actor_02/03-01-08-01-02-02-02.wav
neutral,../Dataset/ravdess/Actor_02/03-01-01-01-02-01-02.wav
calm,../Dataset/ravdess/Actor_02/03-01-02-01-02-02-02.wav
calm,../Dataset/ravdess/Actor_02/03-01-02-02-01-02-02.wav
happy,../Dataset/ravdess/Actor_02/03-01-03-01-01-01-02.wav
happy,../Dataset/ravdess/Actor_02/03-01-03-02-02-01-02.wav
sad,../Dataset/ravdess/Actor_02/03-01-04-02-02-01-02.wav
disgust,../Dataset/ravdess/Actor_02/03-01-07-02-02-02-02.wav
disgust,../Dataset/ravdess/Actor_02/03-01-07-01-01-02-02.wav
sad,../Dataset/ravdess/Actor_02/03-01-04-01-01-01-02.wav
fear,../Dataset/ravdess/Actor_02/03-01-06-02-01-01-02.wav
angry,../Dataset/ravdess/Actor_02/03-01-05-02-01-02-02.wav
angry,../Dataset/ravdess/Actor_02/03-01-05-01-02-02-02.wav
fear,../Dataset/ravdess/Actor_02/03-01-06-01-02-01-02.wav
surprise,../Dataset/ravdess/Actor_02/03-01-08-01-01-02-02.wav
surprise,../Dataset/ravdess/Actor_02/03-01-08-02-02-02-02.wav
disgust,../Dataset/ravdess/Actor_02/03-01-07-02-01-01-02.wav
sad,../Dataset/ravdess/Actor_02/03-01-04-02-01-02-02.wav
sad,../Dataset/ravdess/Actor_02/03-01-04-01-02-02-02.wav
disgust,../Dataset/ravdess/Actor_02/03-01-07-01-02-01-02.wav
angry,../Dataset/ravdess/Actor_02/03-01-05-02-02-01-02.wav
fear,../Dataset/ravdess/Actor_02/03-01-06-02-02-02-02.wav
fear,../Dataset/ravdess/Actor_02/03-01-06-01-01-02-02.wav
angry,../Dataset/ravdess/Actor_02/03-01-05-01-01-01-02.wav
surprise,../Dataset/ravdess/Actor_02/03-01-08-01-02-01-02.wav
surprise,../Dataset/ravdess/Actor_02/03-01-08-02-01-01-02.wav
calm,../Dataset/ravdess/Actor_02/03-01-02-01-01-01-02.wav
neutral,../Dataset/ravdess/Actor_02/03-01-01-01-01-02-02.wav
calm,../Dataset/ravdess/Actor_02/03-01-02-02-02-01-02.wav
happy,../Dataset/ravdess/Actor_02/03-01-03-01-02-02-02.wav
happy,../Dataset/ravdess/Actor_02/03-01-03-02-01-02-02.wav
calm,../Dataset/ravdess/Actor_05/03-01-02-01-02-01-05.wav
neutral,../Dataset/ravdess/Actor_05/03-01-01-01-02-02-05.wav
calm,../Dataset/ravdess/Actor_05/03-01-02-02-01-01-05.wav
happy,../Dataset/ravdess/Actor_05/03-01-03-01-01-02-05.wav
happy,../Dataset/ravdess/Actor_05/03-01-03-02-02-02-05.wav
disgust,../Dataset/ravdess/Actor_05/03-01-07-02-02-01-05.wav
sad,../Dataset/ravdess/Actor_05/03-01-04-02-02-02-05.wav
sad,../Dataset/ravdess/Actor_05/03-01-04-01-01-02-05.wav
disgust,../Dataset/ravdess/Actor_05/03-01-07-01-01-01-05.wav
angry,../Dataset/ravdess/Actor_05/03-01-05-02-01-01-05.wav
fear,../Dataset/ravdess/Actor_05/03-01-06-02-01-02-05.wav
fear,../Dataset/ravdess/Actor_05/03-01-06-01-02-02-05.wav
angry,../Dataset/ravdess/Actor_05/03-01-05-01-02-01-05.wav
surprise,../Dataset/ravdess/Actor_05/03-01-08-01-01-01-05.wav
surprise,../Dataset/ravdess/Actor_05/03-01-08-02-02-01-05.wav
sad,../Dataset/ravdess/Actor_05/03-01-04-02-01-01-05.wav
disgust,../Dataset/ravdess/Actor_05/03-01-07-02-01-02-05.wav
disgust,../Dataset/ravdess/Actor_05/03-01-07-01-02-02-05.wav
sad,../Dataset/ravdess/Actor_05/03-01-04-01-02-01-05.wav
fear,../Dataset/ravdess/Actor_05/03-01-06-02-02-01-05.wav
angry,../Dataset/ravdess/Actor_05/03-01-05-02-02-02-05.wav
angry,../Dataset/ravdess/Actor_05/03-01-05-01-01-02-05.wav
fear,../Dataset/ravdess/Actor_05/03-01-06-01-01-01-05.wav
surprise,../Dataset/ravdess/Actor_05/03-01-08-01-02-02-05.wav
surprise,../Dataset/ravdess/Actor_05/03-01-08-02-01-02-05.wav
neutral,../Dataset/ravdess/Actor_05/03-01-01-01-01-01-05.wav
calm,../Dataset/ravdess/Actor_05/03-01-02-01-01-02-05.wav
calm,../Dataset/ravdess/Actor_05/03-01-02-02-02-02-05.wav
happy,../Dataset/ravdess/Actor_05/03-01-03-01-02-01-05.wav
happy,../Dataset/ravdess/Actor_05/03-01-03-02-01-01-05.wav
angry,../Dataset/ravdess/Actor_05/03-01-05-01-02-02-05.wav
fear,../Dataset/ravdess/Actor_05/03-01-06-01-02-01-05.wav
fear,../Dataset/ravdess/Actor_05/03-01-06-02-01-01-05.wav
angry,../Dataset/ravdess/Actor_05/03-01-05-02-01-02-05.wav
disgust,../Dataset/ravdess/Actor_05/03-01-07-01-01-02-05.wav
sad,../Dataset/ravdess/Actor_05/03-01-04-01-01-01-05.wav
sad,../Dataset/ravdess/Actor_05/03-01-04-02-02-01-05.wav
disgust,../Dataset/ravdess/Actor_05/03-01-07-02-02-02-05.wav
surprise,../Dataset/ravdess/Actor_05/03-01-08-02-02-02-05.wav
surprise,../Dataset/ravdess/Actor_05/03-01-08-01-01-02-05.wav
happy,../Dataset/ravdess/Actor_05/03-01-03-02-02-01-05.wav
happy,../Dataset/ravdess/Actor_05/03-01-03-01-01-01-05.wav
calm,../Dataset/ravdess/Actor_05/03-01-02-02-01-02-05.wav
neutral,../Dataset/ravdess/Actor_05/03-01-01-01-02-01-05.wav
calm,../Dataset/ravdess/Actor_05/03-01-02-01-02-02-05.wav
happy,../Dataset/ravdess/Actor_05/03-01-03-02-01-02-05.wav
happy,../Dataset/ravdess/Actor_05/03-01-03-01-02-02-05.wav
calm,../Dataset/ravdess/Actor_05/03-01-02-02-02-01-05.wav
calm,../Dataset/ravdess/Actor_05/03-01-02-01-01-01-05.wav
neutral,../Dataset/ravdess/Actor_05/03-01-01-01-01-02-05.wav
fear,../Dataset/ravdess/Actor_05/03-01-06-01-01-02-05.wav
angry,../Dataset/ravdess/Actor_05/03-01-05-01-01-01-05.wav
angry,../Dataset/ravdess/Actor_05/03-01-05-02-02-01-05.wav
fear,../Dataset/ravdess/Actor_05/03-01-06-02-02-02-05.wav
sad,../Dataset/ravdess/Actor_05/03-01-04-01-02-02-05.wav
disgust,../Dataset/ravdess/Actor_05/03-01-07-01-02-01-05.wav
disgust,../Dataset/ravdess/Actor_05/03-01-07-02-01-01-05.wav
sad,../Dataset/ravdess/Actor_05/03-01-04-02-01-02-05.wav
surprise,../Dataset/ravdess/Actor_05/03-01-08-02-01-01-05.wav
surprise,../Dataset/ravdess/Actor_05/03-01-08-01-02-01-05.wav
surprise,../Dataset/ravdess/Actor_09/03-01-08-02-01-01-09.wav
surprise,../Dataset/ravdess/Actor_09/03-01-08-01-02-01-09.wav
angry,../Dataset/ravdess/Actor_09/03-01-05-01-01-01-09.wav
fear,../Dataset/ravdess/Actor_09/03-01-06-01-01-02-09.wav
fear,../Dataset/ravdess/Actor_09/03-01-06-02-02-02-09.wav
angry,../Dataset/ravdess/Actor_09/03-01-05-02-02-01-09.wav
disgust,../Dataset/ravdess/Actor_09/03-01-07-01-02-01-09.wav
sad,../Dataset/ravdess/Actor_09/03-01-04-01-02-02-09.wav
sad,../Dataset/ravdess/Actor_09/03-01-04-02-01-02-09.wav
disgust,../Dataset/ravdess/Actor_09/03-01-07-02-01-01-09.wav
happy,../Dataset/ravdess/Actor_09/03-01-03-02-01-02-09.wav
happy,../Dataset/ravdess/Actor_09/03-01-03-01-02-02-09.wav
calm,../Dataset/ravdess/Actor_09/03-01-02-02-02-01-09.wav
neutral,../Dataset/ravdess/Actor_09/03-01-01-01-01-02-09.wav
calm,../Dataset/ravdess/Actor_09/03-01-02-01-01-01-09.wav
happy,../Dataset/ravdess/Actor_09/03-01-03-02-02-01-09.wav
happy,../Dataset/ravdess/Actor_09/03-01-03-01-01-01-09.wav
calm,../Dataset/ravdess/Actor_09/03-01-02-02-01-02-09.wav
calm,../Dataset/ravdess/Actor_09/03-01-02-01-02-02-09.wav
neutral,../Dataset/ravdess/Actor_09/03-01-01-01-02-01-09.wav
surprise,../Dataset/ravdess/Actor_09/03-01-08-02-02-02-09.wav
surprise,../Dataset/ravdess/Actor_09/03-01-08-01-01-02-09.wav
fear,../Dataset/ravdess/Actor_09/03-01-06-01-02-01-09.wav
angry,../Dataset/ravdess/Actor_09/03-01-05-01-02-02-09.wav
angry,../Dataset/ravdess/Actor_09/03-01-05-02-01-02-09.wav
fear,../Dataset/ravdess/Actor_09/03-01-06-02-01-01-09.wav
sad,../Dataset/ravdess/Actor_09/03-01-04-01-01-01-09.wav
disgust,../Dataset/ravdess/Actor_09/03-01-07-01-01-02-09.wav
disgust,../Dataset/ravdess/Actor_09/03-01-07-02-02-02-09.wav
sad,../Dataset/ravdess/Actor_09/03-01-04-02-02-01-09.wav
calm,../Dataset/ravdess/Actor_09/03-01-02-01-01-02-09.wav
neutral,../Dataset/ravdess/Actor_09/03-01-01-01-01-01-09.wav
calm,../Dataset/ravdess/Actor_09/03-01-02-02-02-02-09.wav
happy,../Dataset/ravdess/Actor_09/03-01-03-01-02-01-09.wav
happy,../Dataset/ravdess/Actor_09/03-01-03-02-01-01-09.wav
surprise,../Dataset/ravdess/Actor_09/03-01-08-01-02-02-09.wav
surprise,../Dataset/ravdess/Actor_09/03-01-08-02-01-02-09.wav
disgust,../Dataset/ravdess/Actor_09/03-01-07-02-01-02-09.wav
sad,../Dataset/ravdess/Actor_09/03-01-04-02-01-01-09.wav
sad,../Dataset/ravdess/Actor_09/03-01-04-01-02-01-09.wav
disgust,../Dataset/ravdess/Actor_09/03-01-07-01-02-02-09.wav
angry,../Dataset/ravdess/Actor_09/03-01-05-02-02-02-09.wav
fear,../Dataset/ravdess/Actor_09/03-01-06-02-02-01-09.wav
fear,../Dataset/ravdess/Actor_09/03-01-06-01-01-01-09.wav
angry,../Dataset/ravdess/Actor_09/03-01-05-01-01-02-09.wav
surprise,../Dataset/ravdess/Actor_09/03-01-08-01-01-01-09.wav
surprise,../Dataset/ravdess/Actor_09/03-01-08-02-02-01-09.wav
sad,../Dataset/ravdess/Actor_09/03-01-04-02-02-02-09.wav
disgust,../Dataset/ravdess/Actor_09/03-01-07-02-02-01-09.wav
disgust,../Dataset/ravdess/Actor_09/03-01-07-01-01-01-09.wav
sad,../Dataset/ravdess/Actor_09/03-01-04-01-01-02-09.wav
fear,../Dataset/ravdess/Actor_09/03-01-06-02-01-02-09.wav
angry,../Dataset/ravdess/Actor_09/03-01-05-02-01-01-09.wav
angry,../Dataset/ravdess/Actor_09/03-01-05-01-02-01-09.wav
fear,../Dataset/ravdess/Actor_09/03-01-06-01-02-02-09.wav
neutral,../Dataset/ravdess/Actor_09/03-01-01-01-02-02-09.wav
calm,../Dataset/ravdess/Actor_09/03-01-02-01-02-01-09.wav
calm,../Dataset/ravdess/Actor_09/03-01-02-02-01-01-09.wav
happy,../Dataset/ravdess/Actor_09/03-01-03-01-01-02-09.wav
happy,../Dataset/ravdess/Actor_09/03-01-03-02-02-02-09.wav
happy,../Dataset/ravdess/Actor_07/03-01-03-02-02-02-07.wav
happy,../Dataset/ravdess/Actor_07/03-01-03-01-01-02-07.wav
calm,../Dataset/ravdess/Actor_07/03-01-02-02-01-01-07.wav
calm,../Dataset/ravdess/Actor_07/03-01-02-01-02-01-07.wav
neutral,../Dataset/ravdess/Actor_07/03-01-01-01-02-02-07.wav
surprise,../Dataset/ravdess/Actor_07/03-01-08-02-02-01-07.wav
surprise,../Dataset/ravdess/Actor_07/03-01-08-01-01-01-07.wav
fear,../Dataset/ravdess/Actor_07/03-01-06-01-02-02-07.wav
angry,../Dataset/ravdess/Actor_07/03-01-05-01-02-01-07.wav
angry,../Dataset/ravdess/Actor_07/03-01-05-02-01-01-07.wav
fear,../Dataset/ravdess/Actor_07/03-01-06-02-01-02-07.wav
sad,../Dataset/ravdess/Actor_07/03-01-04-01-01-02-07.wav
disgust,../Dataset/ravdess/Actor_07/03-01-07-01-01-01-07.wav
disgust,../Dataset/ravdess/Actor_07/03-01-07-02-02-01-07.wav
